link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country,src_x,src_y,dst_x,dst_y
8210,6030,6031,132.0,1,f,f,f,8636.393885,'symbol'=>'132-150 kV Transmission Line  1 Circuit'  'ogc_fid'=>'6884'  't9_code'=>'112.1.1'  'visible'=>'1'  'objectid'=>'7602'  'tie_line'=>'1'  'country_1'=>'AT'  'country_2'=>'CH',"(9.64599600000001, 47.197178)","(9.547119, 47.15984)",AT,CH,1073787.3629139548,5974318.138677847,1062780.425622787,5968203.166371002
8194,4285,4292,220.0,2,f,f,f,24597.151193,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6868'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7584'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(10.030518, 46.980252)","(9.78881800000001, 47.137425)",AT,AT,1116592.156152765,5938851.29168572,1089686.2352280316,5964534.249031766
8229,4329,4334,220.0,2,f,f,f,56605.503842,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6903'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7622'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(16.358643, 48.129434)","(15.974121, 47.717154)",AT,AT,1821035.8088289492,6128415.116839434,1778231.0155901378,6059927.6735686995
8225,4331,4334,220.0,2,f,f,f,99336.950944,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6899'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7617'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(14.798584, 47.323931)","(15.974121, 47.717154)",AT,AT,1647370.8353414857,5995109.072921589,1778231.0155901378,6059927.6735686995
8230,4327,4335,220.0,2,f,f,f,66656.352098,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6904'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7623'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(16.402588, 48.319734)","(15.688477, 48.290503)",AT,AT,1825927.7438518598,6160212.976783776,1746433.2709619845,6155320.97741917
8231,4335,4337,220.0,3,f,f,f,12441.315252,'text_'=>' '  'symbol'=>'220 kV Transmission Line  >= 3 Circuits'  'ogc_fid'=>'6905'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7624'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(15.688477, 48.290503)","(15.666504, 48.407326)",AT,AT,1746433.2709619845,6155320.97741917,1743987.2477907836,6174888.879619571
8346,7751,7838,220.0,2,f,f,f,14537.054921,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'7326'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'8126'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(14.18335, 46.551305)","(13.985596, 46.54375)",AT,AT,1578883.299742777,5869140.702344077,1556869.4251604436,5867917.851692586
8226,4325,4342,220.0,2,f,f,f,21228.207701,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6900'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7619'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(14.381104, 48.114767)","(14.095459, 48.100095)",AT,AT,1600897.1743251097,6125969.256266499,1569099.318377465,6123523.260326195
8252,4339,4342,220.0,2,f,f,f,19642.383138,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6926'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7647'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(13.820801, 48.078079)","(14.095459, 48.100095)",AT,AT,1538524.5296751661,6119854.242038426,1569099.318377465,6123523.260326195
8259,4303,4344,220.0,2,f,f,f,7522.951386,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6933'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7655'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(11.447754, 47.338823)","(11.37085, 47.301585)",AT,AT,1274358.1460066605,5997555.037499671,1265797.231886695,5991440.105322409
6898,4316,5330,220.0,1,f,f,f,80061.237217,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'5352'  't9_code'=>'132.1.1'  'visible'=>'1'  'objectid'=>'6018'  'tie_line'=>'1'  'country_1'=>'AT'  'country_2'=>'IT',"(12.689209, 46.800059)","(12.227783, 46.172223)",AT,IT,1412556.2844494241,5909499.458127934,1361190.577090647,5807991.160684165
6540,4311,5470,220.0,1,f,f,f,69669.707337,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4854'  't9_code'=>'181.1.1'  'visible'=>'1'  'objectid'=>'5469'  'tie_line'=>'1'  'country_1'=>'SI'  'country_2'=>'AT',"(14.512939, 46.566414)","(15.007324, 46.225453)",SI,AT,1615572.979393841,5871586.752499327,1670607.6658496738,5816552.123332524
8223,4313,5846,220.0,2,f,f,f,94469.671777,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6897'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7615'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(12.667236, 47.346267)","(13.029785, 48.019324)",AT,AT,1410110.2612782237,5998777.949910559,1450469.0313458343,6110070.262247995
8208,4318,5846,220.0,3,f,f,f,9354.751506,'text_'=>' '  'symbol'=>'220 kV Transmission Line  >= 3 Circuits'  'ogc_fid'=>'6882'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7599'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(12.98584, 47.945786)","(13.029785, 48.019324)",AT,AT,1445577.0963229237,6097840.291418139,1450469.0313458343,6110070.262247995
8708,4316,5984,220.0,2,f,f,f,21004.01597,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'8146'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7611'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(12.689209, 46.800059)","(12.897949, 46.687131)",AT,AT,1412556.2844494241,5909499.458127934,1435793.1149576122,5891154.577064653
8257,2639,6655,220.0,2,f,f,f,28965.077693,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6931'  't9_code'=>'115.16.1/2'  'visible'=>'1'  'objectid'=>'7653'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(13.656006, 48.494768)","(13.381348, 48.297812)",AT,AT,1520179.6341898886,6189564.88383991,1489604.8454875895,6156543.923800451
8796,4319,6655,220.0,2,f,f,f,21850.645632,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'8479'  't9_code'=>'115.16.1/2'  'visible'=>'1'  'objectid'=>'7653'  'tie_line'=>'1'  'country_1'=>'AT'  'country_2'=>'DE',"(13.084717, 48.253941)","(13.381348, 48.297812)",AT,DE,1456584.0336140902,6149206.027304595,1489604.8454875895,6156543.923800451
8243,4287,6964,220.0,2,f,f,f,11619.892679,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6917'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7637'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(14.589844, 48.224673)","(14.5680042687521, 48.119965739511)",AT,AT,1624134.0048332976,6144314.140230932,1621702.8170717193,6126836.115214872
8245,4338,6965,220.0,2,f,f,f,8272.324518,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6919'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7639'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(16.765137, 47.953145)","(16.7635560721089, 48.0323211251958)",AT,AT,1866286.51391947,6099063.369215538,1866110.5258316523,6112233.603849914
